date,stock_id,company_name,foreign_net,investment_trust_net,dealer_net,total_net,source,traded_shares
2026-06-15,2330,台積電,10000,2000,-500,11500,synthetic-demo,101000
2026-06-16,2330,台積電,10200,2050,-500,11750,synthetic-demo,102000
2026-06-17,2330,台積電,10400,2100,-500,12000,synthetic-demo,103000
2026-06-18,2330,台積電,10600,2150,-500,12250,synthetic-demo,104000
2026-06-19,2330,台積電,10800,2200,-500,12500,synthetic-demo,105000
2026-06-22,2330,台積電,11000,2250,-500,12750,synthetic-demo,106000
2026-06-23,2330,台積電,11200,2300,-500,13000,synthetic-demo,107000
2026-06-24,2330,台積電,11400,2350,-500,13250,synthetic-demo,108000
2026-06-25,2330,台積電,11600,2400,-500,13500,synthetic-demo,109000
2026-06-26,2330,台積電,11800,2450,-500,13750,synthetic-demo,110000
2026-06-29,2330,台積電,12000,2500,-500,14000,synthetic-demo,111000
2026-06-30,2330,台積電,12200,2550,-500,14250,synthetic-demo,112000
2026-07-01,2330,台積電,12400,2600,-500,14500,synthetic-demo,113000
2026-07-02,2330,台積電,12600,2650,-500,14750,synthetic-demo,114000
2026-07-03,2330,台積電,12800,2700,-500,15000,synthetic-demo,115000
2026-07-06,2330,台積電,13000,2750,-500,15250,synthetic-demo,116000
2026-07-07,2330,台積電,13200,2800,-500,15500,synthetic-demo,117000
2026-07-08,2330,台積電,13400,2850,-500,15750,synthetic-demo,118000
2026-07-09,2330,台積電,13600,2900,-500,16000,synthetic-demo,119000
2026-07-10,2330,台積電,13800,2950,-500,16250,synthetic-demo,155000
2026-06-15,2303,聯電,-6000,900,-300,-5400,synthetic-demo,70500
2026-06-16,2303,聯電,-6100,900,-300,-5500,synthetic-demo,71000
2026-06-17,2303,聯電,-6200,900,-300,-5600,synthetic-demo,71500
2026-06-18,2303,聯電,-6300,900,-300,-5700,synthetic-demo,72000
2026-06-19,2303,聯電,-6400,900,-300,-5800,synthetic-demo,72500
2026-06-22,2303,聯電,-6500,900,-300,-5900,synthetic-demo,73000
2026-06-23,2303,聯電,-6600,900,-300,-6000,synthetic-demo,73500
2026-06-24,2303,聯電,-6700,900,-300,-6100,synthetic-demo,74000
2026-06-25,2303,聯電,-6800,900,-300,-6200,synthetic-demo,74500
2026-06-26,2303,聯電,-6900,900,-300,-6300,synthetic-demo,75000
2026-06-29,2303,聯電,-7000,900,-300,-6400,synthetic-demo,75500
2026-06-30,2303,聯電,-7100,900,-300,-6500,synthetic-demo,76000
2026-07-01,2303,聯電,-7200,900,-300,-6600,synthetic-demo,76500
2026-07-02,2303,聯電,-7300,900,-300,-6700,synthetic-demo,77000
2026-07-03,2303,聯電,-7400,900,-300,-6800,synthetic-demo,77500
2026-07-06,2303,聯電,-7500,900,-300,-6900,synthetic-demo,78000
2026-07-07,2303,聯電,-7600,900,-300,-7000,synthetic-demo,78500
2026-07-08,2303,聯電,-7700,900,-300,-7100,synthetic-demo,79000
2026-07-09,2303,聯電,-7800,900,-300,-7200,synthetic-demo,79500
2026-07-10,2303,聯電,-7900,900,-300,-7300,synthetic-demo,80000
